16/06/2026 20:45:28 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 20:45:28 | atendimento | Consulta#1 | Consulta cancelada.
16/06/2026 20:45:28 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 20:45:29 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 20:45:29 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 20:45:30 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 20:45:31 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 20:45:31 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 20:45:31 | farmacia | Material#1 | Consumo registrado (2) pelo enfermeiro 4.
16/06/2026 20:45:31 | farmacia | Medicamento#1 | Dispensação de 3 pelo farmacêutico 1.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Acesso concedido ao medico 3.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Acesso concedido ao enfermeiro 7.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Evolução registrada pelo médico 10.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Evolução registrada pelo médico 10.
16/06/2026 20:45:31 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 20:45:35 | farmacia | Medicamento#1 | Dispensação de 1 pelo farmacêutico 42.
16/06/2026 21:08:26 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 21:08:26 | atendimento | Consulta#1 | Consulta cancelada.
16/06/2026 21:08:26 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 21:08:27 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 21:08:27 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 21:08:28 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 21:08:28 | atendimento | Consulta#1 | Consulta agendada (status confirmada).
16/06/2026 21:08:28 | atendimento | Consulta#2 | Consulta agendada (status confirmada).
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 21:08:28 | farmacia | Material#1 | Consumo registrado (2) pelo enfermeiro 4.
16/06/2026 21:08:28 | farmacia | Medicamento#1 | Dispensação de 3 pelo farmacêutico 1.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Acesso concedido ao medico 3.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Acesso concedido ao enfermeiro 7.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Evolução registrada pelo médico 10.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Evolução registrada pelo médico 10.
16/06/2026 21:08:28 | prontuario | Prontuario#1 | Acesso concedido ao medico 10.
16/06/2026 21:08:29 | acesso | Recepcionista#1 | Senha do recepcionista alterada.
16/06/2026 21:08:30 | acesso | Recepcionista#1 | Senha do recepcionista alterada.
16/06/2026 21:08:31 | acesso | Recepcionista#2 | Senha do recepcionista alterada.
16/06/2026 21:13:41 | acesso | Farmaceutico#1 | Farmacêutico cadastrado com sucesso.
16/06/2026 21:19:10 | acesso | Farmaceutico#1 | Senha do farmacêutico alterada.
